File,Code,Full,Type
Basic Information,hhcode,Household 10 digits code,NA
Basic Information,psu,primary sampling unit 8 digits code,NA
Basic Information,province,Province of Pakistan,NA
Basic Information,region,Region of Pakistan (Rural/Urban),NA
Basic Information,district,District of Pakistan,NA
Basic Information,sec,NA,NA
Basic Information,memno,NA,NA
Basic Information,optcode,NA,NA
Basic Information,batchno,NA,NA
Basic Information,entrydate,NA,NA
Basic Information,eb_code,NA,NA
Basic Information,used_ques,NA,NA
Basic Information,inter_code,Interview Code,Interview
Basic Information,int_date,NA,NA
Basic Information,int_month,Interview Month,Interview
Basic Information,int_year,Interview Year,Interview
Basic Information,started_hour,NA,NA
Basic Information,started_mins,NA,NA
Basic Information,end_hour,NA,NA
Basic Information,end_mins,NA,NA
Basic Information,behav_code,Interviewee Behavior,Behavior
Basic Information,language,Language Spoken,Language
Basic Information,distance,Distance of PSU from Interview Office,Office Distance
Basic Information,super_code,NA,NA
Basic Information,check_date,NA,NA
Basic Information,check_month,NA,NA
Basic Information,check_year,NA,NA
Basic Information,editor_code,NA,NA
Basic Information,edit_date,NA,NA
Basic Information,edit_month,NA,NA
Basic Information,edit_year,NA,NA
Household,hhcode,Household 10 digits code,NA
Household,psu,primary sampling unit 8 digits code,NA
Household,province,Province of Pakistan,NA
Household,region,Region of Pakistan (Rural/Urban),NA
Household,district,District of Pakistan,NA
Household,sec,NA,NA
Household,idc,NA,NA
Household,sbq02,Relation to head of household,Individual Details
Household,sbq03,Reason for being head of household,Individual Details
Household,sbq04,Sex,Individual Details
Household,sbq05,Resident Status,Individual Details
Household,sbq61,Day,Age
Household,sbq62,Month,Age
Household,sbq63,Year,Age
Household,age,Age,Age
Household,sbq07,Marital Status,Individual Details
Household,sbq08,ID code of spouse,Individual Details
Household,sbq09,ID code of father,Individual Details
Household,sbq10,ID code of mother,Individual Details
Household,sbq11,Is household member,Individual Details
Education,hhcode,Household 10 digits code,NA
Education,psu,primary sampling unit 8 digits code,NA
Education,province,Province of Pakistan,NA
Education,region,Region of Pakistan (Rural/Urban),NA
Education,district,District of Pakistan,NA
Education,hh,NA,NA
Education,sec,NA,NA
Education,idc,NA,NA
Education,scq01,Can read & write with understanding ,Understanding
Education,scq02,Can do simple arithmetic,Understanding
Education,scq03,Attended any educational institution,Education History
Education,scq04,Highest class/level of education completed,Education History
Education,scq05,Currently studying in an institution,Education History
Education,scq06,Current class/grade level,Education History
